Minimum Z,Maximum Z,Range Z,Mean Z,Std_dev Z,Minimum van_der_waals_radius,Maximum van_der_waals_radius,Range van_der_waals_radius,Mean van_der_waals_radius,Std_dev van_der_waals_radius,Minimum mendeleev_no,Maximum mendeleev_no,Range mendeleev_no,Mean mendeleev_no,Std_dev mendeleev_no,Minimum molar_volume,Maximum molar_volume,Range molar_volume,Mean molar_volume,Std_dev molar_volume,Minimum thermal_conductivity,Maximum thermal_conductivity,Range thermal_conductivity,Mean thermal_conductivity,Std_dev thermal_conductivity,Minimum boiling_point,Maximum boiling_point,Range boiling_point,Mean boiling_point,Std_dev boiling_point,Minimum melting_point,Maximum melting_point,Range melting_point,Mean melting_point,Std_dev melting_point,Minimum liquid_Range,Maximum liquid_Range,Si_Al_Ratio
8,14,6,9.833333333,3.689323937,1.52,2.1,0.58,1.67,0.31822424,80,101,21,94.83333333,12.50111106,10,17.36,7.36,15.25,4.302983461,0.02658,235,234.97342,64.18438667,132.9250288,90.2,3173,3082.8,1054.3,1934.463424,54.8,1687,1632.2,473.2783333,891.7012048,35.4,1858.53,1
8,14,6,9.833333333,3.689323937,1.52,2.1,0.58,1.67,0.31822424,80,101,21,94.83333333,12.50111106,10,17.36,7.36,15.25,4.302983461,0.02658,235,234.97342,64.18438667,132.9250288,90.2,3173,3082.8,1054.3,1934.463424,54.8,1687,1632.2,473.2783333,891.7012048,35.4,1858.53,1
8,14,6,9.888888889,3.820994635,1.52,2.1,0.58,1.684444444,0.345919066,80,101,21,95.11111111,12.00833044,10,17.36,7.36,15.36444444,4.094462114,0.02658,235,234.97342,59.46216444,124.059398,90.2,3173,3082.8,1075.466667,1988.294065,54.8,1687,1632.2,515.1411111,971.2994236,35.4,1858.53,2
8,14,6,9.866666667,3.763072453,1.52,2.1,0.58,1.678666667,0.334685353,80,101,21,95,12.19265001,10,17.36,7.36,15.31866667,4.17427667,0.02658,235,234.97342,61.35105333,127.5581437,90.2,3173,3082.8,1067,1963.904425,54.8,1687,1632.2,498.396,939.0837544,35.4,1858.53,1.5
8,14,6,9.833333333,3.689323937,1.52,2.1,0.58,1.67,0.31822424,80,101,21,94.83333333,12.50111106,10,17.36,7.36,15.25,4.302983461,0.02658,235,234.97342,64.18438667,132.9250288,90.2,3173,3082.8,1054.3,1934.463424,54.8,1687,1632.2,473.2783333,891.7012048,35.4,1858.53,1
8,14,6,9.833333333,3.689323937,1.52,2.1,0.58,1.67,0.31822424,80,101,21,94.83333333,12.50111106,10,17.36,7.36,15.25,4.302983461,0.02658,235,234.97342,64.18438667,132.9250288,90.2,3173,3082.8,1054.3,1934.463424,54.8,1687,1632.2,473.2783333,891.7012048,35.4,1858.53,1
8,14,6,9.866666667,3.763072453,1.52,2.1,0.58,1.678666667,0.334685353,80,101,21,95,12.19265001,10,17.36,7.36,15.31866667,4.17427667,0.02658,235,234.97342,61.35105333,127.5581437,90.2,3173,3082.8,1067,1963.904425,54.8,1687,1632.2,498.396,939.0837544,35.4,1858.53,1.5
8,14,6,9.833333333,3.689323937,1.52,2.1,0.58,1.67,0.31822424,80,101,21,94.83333333,12.50111106,10,17.36,7.36,15.25,4.302983461,0.02658,235,234.97342,64.18438667,132.9250288,90.2,3173,3082.8,1054.3,1934.463424,54.8,1687,1632.2,473.2783333,891.7012048,35.4,1858.53,1
8,14,6,9.833333333,3.689323937,1.52,2.1,0.58,1.67,0.31822424,80,101,21,94.83333333,12.50111106,10,17.36,7.36,15.25,4.302983461,0.02658,235,234.97342,64.18438667,132.9250288,90.2,3173,3082.8,1054.3,1934.463424,54.8,1687,1632.2,473.2783333,891.7012048,35.4,1858.53,1
8,14,6,9.833333333,3.689323937,1.52,2.1,0.58,1.67,0.31822424,80,101,21,94.83333333,12.50111106,10,17.36,7.36,15.25,4.302983461,0.02658,235,234.97342,64.18438667,132.9250288,90.2,3173,3082.8,1054.3,1934.463424,54.8,1687,1632.2,473.2783333,891.7012048,35.4,1858.53,1
8,14,6,9.833333333,3.689323937,1.52,2.1,0.58,1.67,0.31822424,80,101,21,94.83333333,12.50111106,10,17.36,7.36,15.25,4.302983461,0.02658,235,234.97342,64.18438667,132.9250288,90.2,3173,3082.8,1054.3,1934.463424,54.8,1687,1632.2,473.2783333,891.7012048,35.4,1858.53,1
8,14,6,9.833333333,3.689323937,1.52,2.1,0.58,1.67,0.31822424,80,101,21,94.83333333,12.50111106,10,17.36,7.36,15.25,4.302983461,0.02658,235,234.97342,64.18438667,132.9250288,90.2,3173,3082.8,1054.3,1934.463424,54.8,1687,1632.2,473.2783333,891.7012048,35.4,1858.53,1
8,14,6,9.866666667,3.763072453,1.52,2.1,0.58,1.678666667,0.334685353,80,101,21,95,12.19265001,10,17.36,7.36,15.31866667,4.17427667,0.02658,235,234.97342,61.35105333,127.5581437,90.2,3173,3082.8,1067,1963.904425,54.8,1687,1632.2,498.396,939.0837544,35.4,1858.53,1.5
8,14,6,9.866666667,3.763072453,1.52,2.1,0.58,1.678666667,0.334685353,80,101,21,95,12.19265001,10,17.36,7.36,15.31866667,4.17427667,0.02658,235,234.97342,61.35105333,127.5581437,90.2,3173,3082.8,1067,1963.904425,54.8,1687,1632.2,498.396,939.0837544,35.4,1858.53,1.5
8,14,6,9.866666667,3.763072453,1.52,2.1,0.58,1.678666667,0.334685353,80,101,21,95,12.19265001,10,17.36,7.36,15.31866667,4.17427667,0.02658,235,234.97342,61.35105333,127.5581437,90.2,3173,3082.8,1067,1963.904425,54.8,1687,1632.2,498.396,939.0837544,35.4,1858.53,1.5
8,14,6,9.866666667,3.763072453,1.52,2.1,0.58,1.678666667,0.334685353,80,101,21,95,12.19265001,10,17.36,7.36,15.31866667,4.17427667,0.02658,235,234.97342,61.35105333,127.5581437,90.2,3173,3082.8,1067,1963.904425,54.8,1687,1632.2,498.396,939.0837544,35.4,1858.53,1.5
8,14,6,9.866666667,3.763072453,1.52,2.1,0.58,1.678666667,0.334685353,80,101,21,95,12.19265001,10,17.36,7.36,15.31866667,4.17427667,0.02658,235,234.97342,61.35105333,127.5581437,90.2,3173,3082.8,1067,1963.904425,54.8,1687,1632.2,498.396,939.0837544,35.4,1858.53,1.5
8,14,6,9.866666667,3.763072453,1.52,2.1,0.58,1.678666667,0.334685353,80,101,21,95,12.19265001,10,17.36,7.36,15.31866667,4.17427667,0.02658,235,234.97342,61.35105333,127.5581437,90.2,3173,3082.8,1067,1963.904425,54.8,1687,1632.2,498.396,939.0837544,35.4,1858.53,1.5
8,14,6,9.866666667,3.763072453,1.52,2.1,0.58,1.678666667,0.334685353,80,101,21,95,12.19265001,10,17.36,7.36,15.31866667,4.17427667,0.02658,235,234.97342,61.35105333,127.5581437,90.2,3173,3082.8,1067,1963.904425,54.8,1687,1632.2,498.396,939.0837544,35.4,1858.53,1.5
8,14,6,9.866666667,3.763072453,1.52,2.1,0.58,1.678666667,0.334685353,80,101,21,95,12.19265001,10,17.36,7.36,15.31866667,4.17427667,0.02658,235,234.97342,61.35105333,127.5581437,90.2,3173,3082.8,1067,1963.904425,54.8,1687,1632.2,498.396,939.0837544,35.4,1858.53,1.5
8,14,6,9.866666667,3.763072453,1.52,2.1,0.58,1.678666667,0.334685353,80,101,21,95,12.19265001,10,17.36,7.36,15.31866667,4.17427667,0.02658,235,234.97342,61.35105333,127.5581437,90.2,3173,3082.8,1067,1963.904425,54.8,1687,1632.2,498.396,939.0837544,35.4,1858.53,1.5
8,14,6,9.866666667,3.763072453,1.52,2.1,0.58,1.678666667,0.334685353,80,101,21,95,12.19265001,10,17.36,7.36,15.31866667,4.17427667,0.02658,235,234.97342,61.35105333,127.5581437,90.2,3173,3082.8,1067,1963.904425,54.8,1687,1632.2,498.396,939.0837544,35.4,1858.53,1.5
8,14,6,9.866666667,3.763072453,1.52,2.1,0.58,1.678666667,0.334685353,80,101,21,95,12.19265001,10,17.36,7.36,15.31866667,4.17427667,0.02658,235,234.97342,61.35105333,127.5581437,90.2,3173,3082.8,1067,1963.904425,54.8,1687,1632.2,498.396,939.0837544,35.4,1858.53,1.5
8,14,6,9.916666667,3.904210182,1.52,2.1,0.58,1.691666667,0.36046795,80,101,21,95.25,11.80012106,10,17.36,7.36,15.42166667,4.000442118,0.02658,235,234.97342,57.10105333,119.7129726,90.2,3173,3082.8,1086.05,2024.567005,54.8,1687,1632.2,536.0725,1012.900745,35.4,1858.53,3
8,14,6,9.916666667,3.904210182,1.52,2.1,0.58,1.691666667,0.36046795,80,101,21,95.25,11.80012106,10,17.36,7.36,15.42166667,4.000442118,0.02658,235,234.97342,57.10105333,119.7129726,90.2,3173,3082.8,1086.05,2024.567005,54.8,1687,1632.2,536.0725,1012.900745,35.4,1858.53,3
8,14,6,9.888888889,3.820994635,1.52,2.1,0.58,1.684444444,0.345919066,80,101,21,95.11111111,12.00833044,10,17.36,7.36,15.36444444,4.094462114,0.02658,235,234.97342,59.46216444,124.059398,90.2,3173,3082.8,1075.466667,1988.294065,54.8,1687,1632.2,515.1411111,971.2994236,35.4,1858.53,2
8,14,6,9.888888889,3.820994635,1.52,2.1,0.58,1.684444444,0.345919066,80,101,21,95.11111111,12.00833044,10,17.36,7.36,15.36444444,4.094462114,0.02658,235,234.97342,59.46216444,124.059398,90.2,3173,3082.8,1075.466667,1988.294065,54.8,1687,1632.2,515.1411111,971.2994236,35.4,1858.53,2
8,14,6,9.888888889,3.820994635,1.52,2.1,0.58,1.684444444,0.345919066,80,101,21,95.11111111,12.00833044,10,17.36,7.36,15.36444444,4.094462114,0.02658,235,234.97342,59.46216444,124.059398,90.2,3173,3082.8,1075.466667,1988.294065,54.8,1687,1632.2,515.1411111,971.2994236,35.4,1858.53,2
8,14,6,9.888888889,3.820994635,1.52,2.1,0.58,1.684444444,0.345919066,80,101,21,95.11111111,12.00833044,10,17.36,7.36,15.36444444,4.094462114,0.02658,235,234.97342,59.46216444,124.059398,90.2,3173,3082.8,1075.466667,1988.294065,54.8,1687,1632.2,515.1411111,971.2994236,35.4,1858.53,2
8,14,6,9.888888889,3.820994635,1.52,2.1,0.58,1.684444444,0.345919066,80,101,21,95.11111111,12.00833044,10,17.36,7.36,15.36444444,4.094462114,0.02658,235,234.97342,59.46216444,124.059398,90.2,3173,3082.8,1075.466667,1988.294065,54.8,1687,1632.2,515.1411111,971.2994236,35.4,1858.53,2
8,14,6,9.888888889,3.820994635,1.52,2.1,0.58,1.684444444,0.345919066,80,101,21,95.11111111,12.00833044,10,17.36,7.36,15.36444444,4.094462114,0.02658,235,234.97342,59.46216444,124.059398,90.2,3173,3082.8,1075.466667,1988.294065,54.8,1687,1632.2,515.1411111,971.2994236,35.4,1858.53,2
8,14,6,9.833333333,3.689323937,1.52,2.1,0.58,1.67,0.31822424,80,101,21,94.83333333,12.50111106,10,17.36,7.36,15.25,4.302983461,0.02658,235,234.97342,64.18438667,132.9250288,90.2,3173,3082.8,1054.3,1934.463424,54.8,1687,1632.2,473.2783333,891.7012048,35.4,1858.53,1
8,14,6,9.833333333,3.689323937,1.52,2.1,0.58,1.67,0.31822424,80,101,21,94.83333333,12.50111106,10,17.36,7.36,15.25,4.302983461,0.02658,235,234.97342,64.18438667,132.9250288,90.2,3173,3082.8,1054.3,1934.463424,54.8,1687,1632.2,473.2783333,891.7012048,35.4,1858.53,1
8,14,6,9.888888889,3.820994635,1.52,2.1,0.58,1.684444444,0.345919066,80,101,21,95.11111111,12.00833044,10,17.36,7.36,15.36444444,4.094462114,0.02658,235,234.97342,59.46216444,124.059398,90.2,3173,3082.8,1075.466667,1988.294065,54.8,1687,1632.2,515.1411111,971.2994236,35.4,1858.53,2
8,14,6,9.888888889,3.820994635,1.52,2.1,0.58,1.684444444,0.345919066,80,101,21,95.11111111,12.00833044,10,17.36,7.36,15.36444444,4.094462114,0.02658,235,234.97342,59.46216444,124.059398,90.2,3173,3082.8,1075.466667,1988.294065,54.8,1687,1632.2,515.1411111,971.2994236,35.4,1858.53,2
8,14,6,9.888888889,3.820994635,1.52,2.1,0.58,1.684444444,0.345919066,80,101,21,95.11111111,12.00833044,10,17.36,7.36,15.36444444,4.094462114,0.02658,235,234.97342,59.46216444,124.059398,90.2,3173,3082.8,1075.466667,1988.294065,54.8,1687,1632.2,515.1411111,971.2994236,35.4,1858.53,2
8,14,6,9.888888889,3.820994635,1.52,2.1,0.58,1.684444444,0.345919066,80,101,21,95.11111111,12.00833044,10,17.36,7.36,15.36444444,4.094462114,0.02658,235,234.97342,59.46216444,124.059398,90.2,3173,3082.8,1075.466667,1988.294065,54.8,1687,1632.2,515.1411111,971.2994236,35.4,1858.53,2
8,14,6,9.833333333,3.689323937,1.52,2.1,0.58,1.67,0.31822424,80,101,21,94.83333333,12.50111106,10,17.36,7.36,15.25,4.302983461,0.02658,235,234.97342,64.18438667,132.9250288,90.2,3173,3082.8,1054.3,1934.463424,54.8,1687,1632.2,473.2783333,891.7012048,35.4,1858.53,1
8,14,6,9.888888889,3.820994635,1.52,2.1,0.58,1.684444444,0.345919066,80,101,21,95.11111111,12.00833044,10,17.36,7.36,15.36444444,4.094462114,0.02658,235,234.97342,59.46216444,124.059398,90.2,3173,3082.8,1075.466667,1988.294065,54.8,1687,1632.2,515.1411111,971.2994236,35.4,1858.53,2
8,14,6,9.888888889,3.820994635,1.52,2.1,0.58,1.684444444,0.345919066,80,101,21,95.11111111,12.00833044,10,17.36,7.36,15.36444444,4.094462114,0.02658,235,234.97342,59.46216444,124.059398,90.2,3173,3082.8,1075.466667,1988.294065,54.8,1687,1632.2,515.1411111,971.2994236,35.4,1858.53,2
8,14,6,9.888888889,3.820994635,1.52,2.1,0.58,1.684444444,0.345919066,80,101,21,95.11111111,12.00833044,10,17.36,7.36,15.36444444,4.094462114,0.02658,235,234.97342,59.46216444,124.059398,90.2,3173,3082.8,1075.466667,1988.294065,54.8,1687,1632.2,515.1411111,971.2994236,35.4,1858.53,2
8,14,6,9.888888889,3.820994635,1.52,2.1,0.58,1.684444444,0.345919066,80,101,21,95.11111111,12.00833044,10,17.36,7.36,15.36444444,4.094462114,0.02658,235,234.97342,59.46216444,124.059398,90.2,3173,3082.8,1075.466667,1988.294065,54.8,1687,1632.2,515.1411111,971.2994236,35.4,1858.53,2
8,14,6,9.833333333,3.689323937,1.52,2.1,0.58,1.67,0.31822424,80,101,21,94.83333333,12.50111106,10,17.36,7.36,15.25,4.302983461,0.02658,235,234.97342,64.18438667,132.9250288,90.2,3173,3082.8,1054.3,1934.463424,54.8,1687,1632.2,473.2783333,891.7012048,35.4,1858.53,1
8,14,6,9.833333333,3.689323937,1.52,2.1,0.58,1.67,0.31822424,80,101,21,94.83333333,12.50111106,10,17.36,7.36,15.25,4.302983461,0.02658,235,234.97342,64.18438667,132.9250288,90.2,3173,3082.8,1054.3,1934.463424,54.8,1687,1632.2,473.2783333,891.7012048,35.4,1858.53,1
8,14,6,9.866666667,3.763072453,1.52,2.1,0.58,1.678666667,0.334685353,80,101,21,95,12.19265001,10,17.36,7.36,15.31866667,4.17427667,0.02658,235,234.97342,61.35105333,127.5581437,90.2,3173,3082.8,1067,1963.904425,54.8,1687,1632.2,498.396,939.0837544,35.4,1858.53,1.5
8,14,6,9.866666667,3.763072453,1.52,2.1,0.58,1.678666667,0.334685353,80,101,21,95,12.19265001,10,17.36,7.36,15.31866667,4.17427667,0.02658,235,234.97342,61.35105333,127.5581437,90.2,3173,3082.8,1067,1963.904425,54.8,1687,1632.2,498.396,939.0837544,35.4,1858.53,1.5
8,14,6,9.866666667,3.763072453,1.52,2.1,0.58,1.678666667,0.334685353,80,101,21,95,12.19265001,10,17.36,7.36,15.31866667,4.17427667,0.02658,235,234.97342,61.35105333,127.5581437,90.2,3173,3082.8,1067,1963.904425,54.8,1687,1632.2,498.396,939.0837544,35.4,1858.53,1.5
8,14,6,9.866666667,3.763072453,1.52,2.1,0.58,1.678666667,0.334685353,80,101,21,95,12.19265001,10,17.36,7.36,15.31866667,4.17427667,0.02658,235,234.97342,61.35105333,127.5581437,90.2,3173,3082.8,1067,1963.904425,54.8,1687,1632.2,498.396,939.0837544,35.4,1858.53,1.5
8,14,6,9.866666667,3.763072453,1.52,2.1,0.58,1.678666667,0.334685353,80,101,21,95,12.19265001,10,17.36,7.36,15.31866667,4.17427667,0.02658,235,234.97342,61.35105333,127.5581437,90.2,3173,3082.8,1067,1963.904425,54.8,1687,1632.2,498.396,939.0837544,35.4,1858.53,1.5
8,14,6,9.888888889,3.820994635,1.52,2.1,0.58,1.684444444,0.345919066,80,101,21,95.11111111,12.00833044,10,17.36,7.36,15.36444444,4.094462114,0.02658,235,234.97342,59.46216444,124.059398,90.2,3173,3082.8,1075.466667,1988.294065,54.8,1687,1632.2,515.1411111,971.2994236,35.4,1858.53,2
8,14,6,9.888888889,3.820994635,1.52,2.1,0.58,1.684444444,0.345919066,80,101,21,95.11111111,12.00833044,10,17.36,7.36,15.36444444,4.094462114,0.02658,235,234.97342,59.46216444,124.059398,90.2,3173,3082.8,1075.466667,1988.294065,54.8,1687,1632.2,515.1411111,971.2994236,35.4,1858.53,2
8,14,6,9.888888889,3.820994635,1.52,2.1,0.58,1.684444444,0.345919066,80,101,21,95.11111111,12.00833044,10,17.36,7.36,15.36444444,4.094462114,0.02658,235,234.97342,59.46216444,124.059398,90.2,3173,3082.8,1075.466667,1988.294065,54.8,1687,1632.2,515.1411111,971.2994236,35.4,1858.53,2
8,14,6,9.888888889,3.820994635,1.52,2.1,0.58,1.684444444,0.345919066,80,101,21,95.11111111,12.00833044,10,17.36,7.36,15.36444444,4.094462114,0.02658,235,234.97342,59.46216444,124.059398,90.2,3173,3082.8,1075.466667,1988.294065,54.8,1687,1632.2,515.1411111,971.2994236,35.4,1858.53,2
8,14,6,9.888888889,3.820994635,1.52,2.1,0.58,1.684444444,0.345919066,80,101,21,95.11111111,12.00833044,10,17.36,7.36,15.36444444,4.094462114,0.02658,235,234.97342,59.46216444,124.059398,90.2,3173,3082.8,1075.466667,1988.294065,54.8,1687,1632.2,515.1411111,971.2994236,35.4,1858.53,2
8,14,6,9.888888889,3.820994635,1.52,2.1,0.58,1.684444444,0.345919066,80,101,21,95.11111111,12.00833044,10,17.36,7.36,15.36444444,4.094462114,0.02658,235,234.97342,59.46216444,124.059398,90.2,3173,3082.8,1075.466667,1988.294065,54.8,1687,1632.2,515.1411111,971.2994236,35.4,1858.53,2
8,14,6,9.888888889,3.820994635,1.52,2.1,0.58,1.684444444,0.345919066,80,101,21,95.11111111,12.00833044,10,17.36,7.36,15.36444444,4.094462114,0.02658,235,234.97342,59.46216444,124.059398,90.2,3173,3082.8,1075.466667,1988.294065,54.8,1687,1632.2,515.1411111,971.2994236,35.4,1858.53,2
8,14,6,9.888888889,3.820994635,1.52,2.1,0.58,1.684444444,0.345919066,80,101,21,95.11111111,12.00833044,10,17.36,7.36,15.36444444,4.094462114,0.02658,235,234.97342,59.46216444,124.059398,90.2,3173,3082.8,1075.466667,1988.294065,54.8,1687,1632.2,515.1411111,971.2994236,35.4,1858.53,2
8,14,6,9.888888889,3.820994635,1.52,2.1,0.58,1.684444444,0.345919066,80,101,21,95.11111111,12.00833044,10,17.36,7.36,15.36444444,4.094462114,0.02658,235,234.97342,59.46216444,124.059398,90.2,3173,3082.8,1075.466667,1988.294065,54.8,1687,1632.2,515.1411111,971.2994236,35.4,1858.53,2
8,14,6,9.888888889,3.820994635,1.52,2.1,0.58,1.684444444,0.345919066,80,101,21,95.11111111,12.00833044,10,17.36,7.36,15.36444444,4.094462114,0.02658,235,234.97342,59.46216444,124.059398,90.2,3173,3082.8,1075.466667,1988.294065,54.8,1687,1632.2,515.1411111,971.2994236,35.4,1858.53,2
8,14,6,9.888888889,3.820994635,1.52,2.1,0.58,1.684444444,0.345919066,80,101,21,95.11111111,12.00833044,10,17.36,7.36,15.36444444,4.094462114,0.02658,235,234.97342,59.46216444,124.059398,90.2,3173,3082.8,1075.466667,1988.294065,54.8,1687,1632.2,515.1411111,971.2994236,35.4,1858.53,2
8,14,6,9.888888889,3.820994635,1.52,2.1,0.58,1.684444444,0.345919066,80,101,21,95.11111111,12.00833044,10,17.36,7.36,15.36444444,4.094462114,0.02658,235,234.97342,59.46216444,124.059398,90.2,3173,3082.8,1075.466667,1988.294065,54.8,1687,1632.2,515.1411111,971.2994236,35.4,1858.53,2
8,14,6,9.888888889,3.820994635,1.52,2.1,0.58,1.684444444,0.345919066,80,101,21,95.11111111,12.00833044,10,17.36,7.36,15.36444444,4.094462114,0.02658,235,234.97342,59.46216444,124.059398,90.2,3173,3082.8,1075.466667,1988.294065,54.8,1687,1632.2,515.1411111,971.2994236,35.4,1858.53,2
8,14,6,9.888888889,3.820994635,1.52,2.1,0.58,1.684444444,0.345919066,80,101,21,95.11111111,12.00833044,10,17.36,7.36,15.36444444,4.094462114,0.02658,235,234.97342,59.46216444,124.059398,90.2,3173,3082.8,1075.466667,1988.294065,54.8,1687,1632.2,515.1411111,971.2994236,35.4,1858.53,2
8,14,6,9.888888889,3.820994635,1.52,2.1,0.58,1.684444444,0.345919066,80,101,21,95.11111111,12.00833044,10,17.36,7.36,15.36444444,4.094462114,0.02658,235,234.97342,59.46216444,124.059398,90.2,3173,3082.8,1075.466667,1988.294065,54.8,1687,1632.2,515.1411111,971.2994236,35.4,1858.53,2
8,14,6,9.888888889,3.820994635,1.52,2.1,0.58,1.684444444,0.345919066,80,101,21,95.11111111,12.00833044,10,17.36,7.36,15.36444444,4.094462114,0.02658,235,234.97342,59.46216444,124.059398,90.2,3173,3082.8,1075.466667,1988.294065,54.8,1687,1632.2,515.1411111,971.2994236,35.4,1858.53,2
8,14,6,9.888888889,3.820994635,1.52,2.1,0.58,1.684444444,0.345919066,80,101,21,95.11111111,12.00833044,10,17.36,7.36,15.36444444,4.094462114,0.02658,235,234.97342,59.46216444,124.059398,90.2,3173,3082.8,1075.466667,1988.294065,54.8,1687,1632.2,515.1411111,971.2994236,35.4,1858.53,2
8,14,6,9.888888889,3.820994635,1.52,2.1,0.58,1.684444444,0.345919066,80,101,21,95.11111111,12.00833044,10,17.36,7.36,15.36444444,4.094462114,0.02658,235,234.97342,59.46216444,124.059398,90.2,3173,3082.8,1075.466667,1988.294065,54.8,1687,1632.2,515.1411111,971.2994236,35.4,1858.53,2
8,14,6,9.888888889,3.820994635,1.52,2.1,0.58,1.684444444,0.345919066,80,101,21,95.11111111,12.00833044,10,17.36,7.36,15.36444444,4.094462114,0.02658,235,234.97342,59.46216444,124.059398,90.2,3173,3082.8,1075.466667,1988.294065,54.8,1687,1632.2,515.1411111,971.2994236,35.4,1858.53,2
8,14,6,9.888888889,3.820994635,1.52,2.1,0.58,1.684444444,0.345919066,80,101,21,95.11111111,12.00833044,10,17.36,7.36,15.36444444,4.094462114,0.02658,235,234.97342,59.46216444,124.059398,90.2,3173,3082.8,1075.466667,1988.294065,54.8,1687,1632.2,515.1411111,971.2994236,35.4,1858.53,2
8,14,6,9.888888889,3.820994635,1.52,2.1,0.58,1.684444444,0.345919066,80,101,21,95.11111111,12.00833044,10,17.36,7.36,15.36444444,4.094462114,0.02658,235,234.97342,59.46216444,124.059398,90.2,3173,3082.8,1075.466667,1988.294065,54.8,1687,1632.2,515.1411111,971.2994236,35.4,1858.53,2
8,14,6,9.888888889,3.820994635,1.52,2.1,0.58,1.684444444,0.345919066,80,101,21,95.11111111,12.00833044,10,17.36,7.36,15.36444444,4.094462114,0.02658,235,234.97342,59.46216444,124.059398,90.2,3173,3082.8,1075.466667,1988.294065,54.8,1687,1632.2,515.1411111,971.2994236,35.4,1858.53,2
8,14,6,9.888888889,3.820994635,1.52,2.1,0.58,1.684444444,0.345919066,80,101,21,95.11111111,12.00833044,10,17.36,7.36,15.36444444,4.094462114,0.02658,235,234.97342,59.46216444,124.059398,90.2,3173,3082.8,1075.466667,1988.294065,54.8,1687,1632.2,515.1411111,971.2994236,35.4,1858.53,2
8,14,6,9.888888889,3.820994635,1.52,2.1,0.58,1.684444444,0.345919066,80,101,21,95.11111111,12.00833044,10,17.36,7.36,15.36444444,4.094462114,0.02658,235,234.97342,59.46216444,124.059398,90.2,3173,3082.8,1075.466667,1988.294065,54.8,1687,1632.2,515.1411111,971.2994236,35.4,1858.53,2
8,14,6,9.888888889,3.820994635,1.52,2.1,0.58,1.684444444,0.345919066,80,101,21,95.11111111,12.00833044,10,17.36,7.36,15.36444444,4.094462114,0.02658,235,234.97342,59.46216444,124.059398,90.2,3173,3082.8,1075.466667,1988.294065,54.8,1687,1632.2,515.1411111,971.2994236,35.4,1858.53,2
8,14,6,9.888888889,3.820994635,1.52,2.1,0.58,1.684444444,0.345919066,80,101,21,95.11111111,12.00833044,10,17.36,7.36,15.36444444,4.094462114,0.02658,235,234.97342,59.46216444,124.059398,90.2,3173,3082.8,1075.466667,1988.294065,54.8,1687,1632.2,515.1411111,971.2994236,35.4,1858.53,2
8,14,6,9.888888889,3.820994635,1.52,2.1,0.58,1.684444444,0.345919066,80,101,21,95.11111111,12.00833044,10,17.36,7.36,15.36444444,4.094462114,0.02658,235,234.97342,59.46216444,124.059398,90.2,3173,3082.8,1075.466667,1988.294065,54.8,1687,1632.2,515.1411111,971.2994236,35.4,1858.53,2
8,14,6,9.888888889,3.820994635,1.52,2.1,0.58,1.684444444,0.345919066,80,101,21,95.11111111,12.00833044,10,17.36,7.36,15.36444444,4.094462114,0.02658,235,234.97342,59.46216444,124.059398,90.2,3173,3082.8,1075.466667,1988.294065,54.8,1687,1632.2,515.1411111,971.2994236,35.4,1858.53,2
8,14,6,9.888888889,3.820994635,1.52,2.1,0.58,1.684444444,0.345919066,80,101,21,95.11111111,12.00833044,10,17.36,7.36,15.36444444,4.094462114,0.02658,235,234.97342,59.46216444,124.059398,90.2,3173,3082.8,1075.466667,1988.294065,54.8,1687,1632.2,515.1411111,971.2994236,35.4,1858.53,2
8,14,6,9.888888889,3.820994635,1.52,2.1,0.58,1.684444444,0.345919066,80,101,21,95.11111111,12.00833044,10,17.36,7.36,15.36444444,4.094462114,0.02658,235,234.97342,59.46216444,124.059398,90.2,3173,3082.8,1075.466667,1988.294065,54.8,1687,1632.2,515.1411111,971.2994236,35.4,1858.53,2
8,14,6,9.833333333,3.689323937,1.52,2.1,0.58,1.67,0.31822424,80,101,21,94.83333333,12.50111106,10,17.36,7.36,15.25,4.302983461,0.02658,235,234.97342,64.18438667,132.9250288,90.2,3173,3082.8,1054.3,1934.463424,54.8,1687,1632.2,473.2783333,891.7012048,35.4,1858.53,1
8,14,6,9.833333333,3.689323937,1.52,2.1,0.58,1.67,0.31822424,80,101,21,94.83333333,12.50111106,10,17.36,7.36,15.25,4.302983461,0.02658,235,234.97342,64.18438667,132.9250288,90.2,3173,3082.8,1054.3,1934.463424,54.8,1687,1632.2,473.2783333,891.7012048,35.4,1858.53,1
8,14,6,9.866666667,3.763072453,1.52,2.1,0.58,1.678666667,0.334685353,80,101,21,95,12.19265001,10,17.36,7.36,15.31866667,4.17427667,0.02658,235,234.97342,61.35105333,127.5581437,90.2,3173,3082.8,1067,1963.904425,54.8,1687,1632.2,498.396,939.0837544,35.4,1858.53,1.5
8,14,6,9.866666667,3.763072453,1.52,2.1,0.58,1.678666667,0.334685353,80,101,21,95,12.19265001,10,17.36,7.36,15.31866667,4.17427667,0.02658,235,234.97342,61.35105333,127.5581437,90.2,3173,3082.8,1067,1963.904425,54.8,1687,1632.2,498.396,939.0837544,35.4,1858.53,1.5
8,14,6,9.866666667,3.763072453,1.52,2.1,0.58,1.678666667,0.334685353,80,101,21,95,12.19265001,10,17.36,7.36,15.31866667,4.17427667,0.02658,235,234.97342,61.35105333,127.5581437,90.2,3173,3082.8,1067,1963.904425,54.8,1687,1632.2,498.396,939.0837544,35.4,1858.53,1.5
